ID,LIMIT_BAL,SEX,EDUCATION,MARRIAGE,AGE,PAY_0,PAY_2,PAY_3,PAY_4,PAY_5,PAY_6,BILL_AMT1,BILL_AMT2,BILL_AMT3,BILL_AMT4,BILL_AMT5,BILL_AMT6,PAY_AMT1,PAY_AMT2,PAY_AMT3,PAY_AMT4,PAY_AMT5,PAY_AMT6,default.payment.next.month
7402,20000.0,1,3,2,23,0,0,0,0,0,0,17030.0,18064.0,19046.0,19221.0,18603.0,19075.0,1315.0,1297.0,672.0,675.0,781.0,734.0,0
7403,250000.0,2,2,2,24,-1,-1,-1,0,0,-1,956.0,1339.0,2617.0,1817.0,975.0,1141.0,1339.0,2617.0,0.0,0.0,1141.0,1720.0,1
7404,70000.0,1,2,1,43,0,0,-1,-1,-1,0,16186.0,3680.0,4540.0,39994.0,6844.0,12308.0,2000.0,4540.0,39994.0,6850.0,10000.0,13000.0,0
7405,20000.0,2,1,1,34,0,0,0,0,0,0,14676.0,15721.0,19335.0,20029.0,20473.0,19860.0,1286.0,3900.0,1000.0,900.0,900.0,600.0,1
7406,160000.0,2,4,1,39,1,-2,-2,-2,-2,-2,-18.0,-18.0,-18.0,-18.0,-18.0,-18.0,0.0,0.0,0.0,0.0,0.0,0.0,0
7407,70000.0,1,2,1,36,0,0,0,-2,-2,-2,27868.0,28850.0,0.0,0.0,0.0,0.0,1850.0,0.0,0.0,0.0,0.0,0.0,1
7408,50000.0,2,2,2,34,-2,-2,-2,-2,-2,-2,588.0,592.0,390.0,390.0,280.0,720.0,592.0,390.0,390.0,280.0,913.0,390.0,0
7409,30000.0,2,3,1,41,2,2,2,3,2,2,26042.0,27127.0,28762.0,29485.0,28878.0,30699.0,1800.0,2378.0,1496.0,0.0,2462.0,0.0,1
7410,80000.0,1,2,1,48,0,0,0,0,0,-1,46495.0,8241.0,11000.0,16000.0,0.0,54070.0,3000.0,3000.0,5000.0,0.0,54070.0,5247.0,0
7411,20000.0,1,2,1,52,0,0,0,0,0,0,15768.0,16792.0,18105.0,18157.0,18538.0,19200.0,1285.0,1598.0,650.0,674.0,971.0,580.0,0
7412,50000.0,2,5,1,32,0,0,0,0,0,0,10335.0,9538.0,6793.0,13864.0,5243.0,5391.0,1200.0,1024.0,163.0,146.0,2000.0,1000.0,0
7413,50000.0,1,1,2,26,1,-2,-2,-2,-2,-2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
7414,230000.0,2,1,1,36,-1,-1,-1,-1,-1,-1,2078.0,380.0,2100.0,530.0,2282.0,1390.0,380.0,2100.0,530.0,2282.0,1390.0,380.0,0
7415,10000.0,2,2,2,23,1,-2,-2,-2,-2,-2,-1000.0,-1000.0,-1000.0,-1000.0,-1000.0,-1000.0,0.0,0.0,0.0,0.0,0.0,1000.0,1
7416,20000.0,1,2,1,42,0,0,2,0,0,2,16070.0,19107.0,18506.0,18802.0,20199.0,19394.0,3300.0,0.0,900.0,1700.0,0.0,253.0,0
7417,110000.0,1,2,2,34,2,0,0,0,0,2,108180.0,107597.0,89775.0,47139.0,47259.0,46348.0,5000.0,3000.0,2020.0,5000.0,0.0,3000.0,0
7418,200000.0,2,1,2,29,-1,-1,-1,-1,-1,-1,5624.0,2519.0,2519.0,2519.0,13137.0,566.0,2519.0,2519.0,2519.0,13137.0,566.0,416.0,0
7419,20000.0,1,2,1,59,1,-1,0,0,-1,-1,-1213.0,30322.0,20033.0,19871.0,15410.0,18969.0,52082.0,15800.0,2000.0,20085.0,39070.0,25000.0,0
7420,80000.0,1,1,2,29,-1,-1,2,0,0,0,2946.0,4599.0,1863.0,3309.0,1446.0,390.0,4599.0,0.0,1446.0,0.0,0.0,2493.0,0
7421,280000.0,2,2,2,31,1,-2,-2,-2,-1,-1,0.0,0.0,0.0,0.0,5360.0,251.0,0.0,0.0,0.0,5360.0,251.0,5360.0,0
7422,140000.0,2,2,1,45,0,0,0,0,-1,-1,106974.0,109061.0,7262.0,7410.0,1545.0,0.0,4924.0,1000.0,148.0,1545.0,0.0,0.0,0
7423,60000.0,2,1,2,25,0,0,0,2,2,2,24066.0,24786.0,27050.0,26317.0,28200.0,28762.0,1414.0,2678.0,0.0,2310.0,1173.0,0.0,0
7424,50000.0,1,2,1,51,0,-1,-1,0,0,0,113247.0,108550.0,118310.0,9904.0,9905.0,9974.0,3000.0,10510.0,4000.0,500.0,1000.0,2000.0,0
7425,200000.0,2,1,1,34,-2,-2,-2,-2,-2,-2,0.0,0.0,0.0,0.0,0.0,35979.0,0.0,0.0,0.0,0.0,35979.0,6191.0,0
7426,180000.0,2,1,1,38,1,2,0,0,0,0,114413.0,111165.0,117004.0,119542.0,122452.0,130293.0,0.0,10000.0,6000.0,5000.0,10000.0,6500.0,0
7427,260000.0,2,2,2,45,0,0,0,0,0,0,207977.0,207713.0,197120.0,198815.0,201007.0,205181.0,9000.0,7009.0,7000.0,8000.0,8000.0,8000.0,0
7428,150000.0,1,1,2,32,0,0,2,2,2,0,52582.0,57496.0,55705.0,57210.0,57084.0,13194.0,6395.0,0.0,2100.0,222.0,1000.0,650.0,1
7429,130000.0,2,1,2,32,0,0,0,0,0,0,126080.0,129104.0,130745.0,127344.0,127809.0,119976.0,7000.0,8000.0,5000.0,4500.0,4500.0,5000.0,0
7430,120000.0,1,3,2,50,-1,-1,-1,-1,-2,-2,390.0,0.0,780.0,0.0,0.0,0.0,0.0,780.0,0.0,0.0,0.0,0.0,1
7431,210000.0,2,2,1,30,-2,-2,-2,-2,-2,-2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
7432,110000.0,2,1,3,33,0,0,0,0,0,0,165090.0,106448.0,103618.0,79687.0,76742.0,77096.0,4259.0,3212.0,28246.0,2730.0,2834.0,2711.0,0
7433,30000.0,1,2,2,28,-1,-1,-1,-1,-1,-1,29617.0,4096.0,2058.0,540.0,13056.0,1690.0,4096.0,2064.0,540.0,13056.0,1690.0,16964.0,0
7434,170000.0,2,1,2,25,-1,-1,-1,-1,-1,-1,12218.0,5500.0,100.0,1608.0,1800.0,897.0,5507.0,100.0,1608.0,1800.0,897.0,1443.0,1
7435,360000.0,2,1,2,32,-1,-1,-1,0,0,0,13819.0,2148.0,34766.0,14138.0,14690.0,19792.0,2148.0,34766.0,2005.0,2190.0,7300.0,20296.0,0
7436,130000.0,1,1,2,37,0,0,0,0,0,0,116093.0,100296.0,95053.0,96146.0,98310.0,95726.0,3647.0,4198.0,3490.0,3800.0,3920.0,3447.0,1
7437,30000.0,2,1,2,24,2,2,2,0,0,0,12324.0,15628.0,15069.0,15868.0,16657.0,13998.0,4500.0,0.0,1000.0,1000.0,668.0,203.0,1
7438,160000.0,2,2,1,31,-2,-2,-2,-2,-2,-2,239.0,0.0,0.0,0.0,1446.0,426.0,0.0,0.0,0.0,1446.0,426.0,0.0,0
7439,30000.0,2,2,1,43,-1,0,0,0,0,0,25166.0,26195.0,27209.0,27924.0,30204.0,30000.0,1437.0,1451.0,1166.0,2900.0,600.0,0.0,0
7440,10000.0,2,2,2,22,1,-1,-1,-2,-2,-2,0.0,1000.0,0.0,0.0,0.0,0.0,1000.0,0.0,0.0,0.0,0.0,0.0,1
7441,50000.0,2,2,2,38,0,0,-1,0,0,-1,2410.0,0.0,4494.0,3034.0,2327.0,5892.0,0.0,4494.0,61.0,47.0,5892.0,164.0,0
7442,80000.0,1,2,1,40,0,0,0,-1,-1,-1,23833.0,17815.0,15140.0,140.0,3090.0,180.0,5000.0,5000.0,5000.0,3100.0,1000.0,5000.0,0
7443,260000.0,2,1,1,49,1,-2,-2,-1,0,0,0.0,0.0,0.0,1180.0,1180.0,0.0,0.0,0.0,1180.0,0.0,0.0,0.0,0
7444,170000.0,1,3,2,26,2,0,0,0,0,0,74453.0,66087.0,60649.0,61408.0,59390.0,57037.0,5020.0,3003.0,3009.0,2013.0,3041.0,3000.0,1
7445,30000.0,2,3,2,25,0,0,0,0,0,0,20983.0,22636.0,24417.0,27020.0,28107.0,28727.0,2000.0,2500.0,3000.0,1500.0,1056.0,544.0,0
7446,50000.0,2,3,2,51,0,0,0,0,0,0,25577.0,26352.0,16846.0,17562.0,18275.0,18711.0,1269.0,1284.0,1000.0,1000.0,740.0,1000.0,0
7447,120000.0,1,3,1,40,0,0,0,0,0,0,88185.0,91748.0,94242.0,88828.0,97643.0,79371.0,5000.0,4251.0,6000.0,10000.0,3019.0,13154.0,0
7448,240000.0,2,2,1,31,2,0,0,0,0,0,71876.0,72382.0,72155.0,72543.0,73011.0,73484.0,3100.0,2400.0,2367.0,2435.0,2500.0,3000.0,1
7449,180000.0,1,1,2,41,0,-1,-1,-1,0,0,16366.0,18339.0,2766.0,97996.0,55156.0,36213.0,18339.0,2766.0,97996.0,1861.0,1196.0,3000.0,0
7450,60000.0,2,3,2,26,0,0,0,0,0,0,38726.0,39764.0,41084.0,41741.0,42461.0,43457.0,1663.0,1983.0,1640.0,1542.0,1703.0,1758.0,0
7451,150000.0,2,3,2,32,0,0,0,0,0,0,113932.0,87187.0,81491.0,77078.0,66927.0,50881.0,2500.0,3000.0,2000.0,5000.0,5055.0,5000.0,1
7452,360000.0,2,2,2,26,1,-2,-2,-2,-2,-2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
7453,350000.0,2,1,2,32,-2,-2,-2,-2,-2,-2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1
7454,30000.0,2,1,1,43,-1,-1,-1,-2,-2,-2,390.0,780.0,0.0,0.0,0.0,0.0,780.0,0.0,0.0,0.0,0.0,0.0,0
7455,120000.0,2,1,2,29,0,0,0,0,0,0,121805.0,120933.0,120629.0,116316.0,117358.0,118560.0,4600.0,4300.0,4200.0,4219.0,4500.0,7600.0,0
7456,330000.0,1,1,1,43,1,-2,-2,-2,-2,-2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1
7457,500000.0,1,2,2,44,-2,-2,-1,0,0,-2,26697.0,26319.0,79424.0,77920.0,55625.0,30092.0,1131.0,150042.0,4790.0,3236.0,866.0,630.0,0
7458,100000.0,2,2,1,34,0,0,0,0,0,0,102724.0,100186.0,102604.0,101856.0,101105.0,101071.0,4600.0,5000.0,4000.0,4000.0,4200.0,3800.0,0
7459,80000.0,2,2,1,37,1,2,-1,-1,-1,-1,2626.0,2410.0,3237.0,2760.0,914.0,0.0,0.0,3237.0,2760.0,914.0,0.0,0.0,0
7460,260000.0,2,2,2,30,0,0,0,0,0,0,34405.0,52512.0,52263.0,52261.0,52140.0,52615.0,20000.0,1826.0,1971.0,2000.0,2500.0,2000.0,0
7461,500000.0,1,2,1,41,0,0,0,0,0,0,171565.0,184782.0,152365.0,139757.0,153348.0,127391.0,20241.0,20154.0,20019.0,20151.0,20037.0,21.0,0
7462,90000.0,1,1,2,52,0,0,0,0,0,0,91656.0,87106.0,48730.0,27535.0,27751.0,29923.0,5110.0,2000.0,3000.0,1000.0,3000.0,3000.0,0
7463,360000.0,2,2,1,38,-1,-1,-1,-1,-1,-1,1604.0,238.0,2402.0,3580.0,183.0,1995.0,239.0,2414.0,3597.0,183.0,2005.0,3635.0,0
7464,360000.0,1,3,2,34,-1,-1,-1,-1,-1,-1,3821.0,1937.0,944.0,1219.0,2216.0,1440.0,1937.0,944.0,1219.0,2216.0,2000.0,648.0,0
7465,100000.0,2,2,2,25,0,0,0,-1,-1,-1,8791.0,4910.0,0.0,674.0,0.0,980.0,1000.0,0.0,674.0,0.0,980.0,4413.0,0
7466,200000.0,1,2,2,36,0,0,0,0,0,0,190120.0,194533.0,194175.0,189457.0,187050.0,187082.0,9000.0,9000.0,8000.0,10000.0,8000.0,7000.0,1
7467,490000.0,2,2,2,52,0,0,0,0,0,0,191937.0,194347.0,202400.0,46634.0,47622.0,50844.0,7133.0,11365.0,1700.0,1740.0,4026.0,2060.0,0
7468,460000.0,1,1,1,40,0,0,0,0,0,0,100026.0,89681.0,81812.0,82326.0,76055.0,74979.0,5095.0,5011.0,5047.0,4021.0,4071.0,3000.0,0
7469,20000.0,1,1,2,39,1,2,2,2,2,2,10968.0,12495.0,11998.0,13795.0,13431.0,16199.0,2000.0,0.0,2000.0,0.0,3000.0,0.0,1
7470,230000.0,2,2,1,35,0,0,0,0,0,0,76050.0,76921.0,65452.0,61129.0,55199.0,55380.0,3000.0,4000.0,3000.0,3000.0,2000.0,3000.0,0
7471,170000.0,2,2,2,28,0,0,0,0,0,0,169531.0,174799.0,179868.0,177952.0,176160.0,175304.0,8000.0,8000.0,7000.0,7000.0,8000.0,9000.0,0
7472,60000.0,2,3,1,63,0,0,0,0,0,0,56285.0,56894.0,57006.0,28198.0,23888.0,24083.0,5000.0,2156.0,3017.0,2009.0,3000.0,3000.0,0
7473,90000.0,2,2,1,33,0,0,2,0,0,0,26772.0,70398.0,56266.0,47804.0,44230.0,48144.0,56388.0,112.0,1779.0,1786.0,5414.0,2418.0,0
7474,160000.0,1,1,1,38,1,-1,-1,-2,-2,-2,0.0,499.0,0.0,0.0,0.0,0.0,499.0,0.0,0.0,0.0,0.0,0.0,0
7475,20000.0,1,2,2,30,2,2,2,0,0,0,20586.0,20568.0,20185.0,20016.0,20044.0,20172.0,1300.0,700.0,700.0,1700.0,1600.0,700.0,1
7476,500000.0,2,1,1,36,1,-2,-2,-2,-2,-2,0.0,0.0,0.0,0.0,0.0,200.0,0.0,0.0,0.0,0.0,200.0,159200.0,0
7477,30000.0,2,2,1,42,0,0,0,0,0,0,9801.0,10535.0,11552.0,11933.0,12092.0,17884.0,1200.0,1200.0,573.0,500.0,6000.0,1200.0,1
7478,170000.0,1,2,2,31,-1,-1,-1,-1,0,-1,2908.0,3408.0,2908.0,9283.0,2908.0,2908.0,3408.0,2908.0,9283.0,0.0,2908.0,7163.0,0
7479,100000.0,2,3,1,44,0,0,0,0,0,0,80808.0,77825.0,70721.0,69603.0,65499.0,62296.0,3025.0,3000.0,3000.0,3000.0,3000.0,3000.0,0
7480,50000.0,1,2,2,39,0,0,0,0,0,0,48493.0,49073.0,50370.0,29862.0,29275.0,29535.0,2109.0,2406.0,1278.0,1036.0,1115.0,947.0,0
7481,110000.0,1,2,2,28,2,2,2,2,0,0,111541.0,113676.0,114223.0,110876.0,107710.0,90071.0,5400.0,4000.0,0.0,4000.0,3700.0,4000.0,1
7482,20000.0,2,1,2,23,0,0,2,0,0,0,11672.0,8584.0,8279.0,8444.0,8621.0,8868.0,2424.0,0.0,284.0,294.0,371.0,500.0,0
7483,70000.0,2,3,2,26,0,0,0,0,0,0,28995.0,30131.0,31610.0,37209.0,40749.0,40541.0,1600.0,2000.0,7000.0,5000.0,1500.0,1500.0,0
7484,310000.0,2,2,1,42,-2,-2,-2,-2,-2,-1,-606.0,44878.0,19950.0,79227.0,20097.0,25594.0,45484.0,20033.0,79520.0,94.0,25910.0,10933.0,0
7485,30000.0,1,2,2,28,2,2,2,2,0,0,35991.0,35751.0,34639.0,32493.0,32001.0,33064.0,2000.0,1200.0,0.0,1500.0,3100.0,0.0,1
7486,30000.0,2,2,1,27,0,0,2,2,2,2,21632.0,24267.0,24572.0,24872.0,25427.0,25860.0,3300.0,1000.0,1000.0,1100.0,1000.0,1100.0,1
7487,100000.0,2,1,1,36,0,0,0,-2,-2,-2,51713.0,25272.0,0.0,0.0,0.0,0.0,1000.0,0.0,0.0,0.0,0.0,0.0,0
7488,150000.0,2,1,2,30,-2,-2,-2,-2,-2,-2,217.0,0.0,2403.0,0.0,4932.0,402.0,0.0,2403.0,0.0,4932.0,402.0,3516.0,0
7489,80000.0,1,2,2,27,0,0,0,0,0,0,78406.0,52520.0,27543.0,51180.0,27017.0,28560.0,1500.0,3024.0,1200.0,2000.0,2000.0,1000.0,0
7490,200000.0,2,3,1,40,0,0,0,0,0,2,158809.0,150904.0,144302.0,137700.0,135443.0,128229.0,5380.0,5141.0,5032.0,9400.0,4400.0,0.0,0
7491,20000.0,1,2,1,36,1,2,2,2,2,0,19006.0,18418.0,20465.0,20381.0,18446.0,18598.0,0.0,2690.0,900.0,0.0,1000.0,1000.0,1
7492,30000.0,1,2,1,33,0,0,0,0,0,0,23900.0,25507.0,26489.0,27017.0,56186.0,29146.0,2000.0,1418.0,946.0,1437.0,3000.0,0.0,0
7493,50000.0,2,3,1,42,0,0,0,0,0,0,13436.0,14460.0,15472.0,15778.0,16109.0,16427.0,1246.0,1258.0,564.0,585.0,586.0,608.0,0
7494,130000.0,2,5,1,32,0,-1,-1,0,0,0,3275.0,376.0,17055.0,14693.0,14855.0,14817.0,376.0,17055.0,575.0,449.0,1000.0,339.0,0
7495,330000.0,1,1,2,32,0,0,0,0,0,0,162657.0,151305.0,138277.0,141453.0,112633.0,121242.0,5500.0,4723.0,5500.0,4000.0,10700.0,4500.0,0
7496,80000.0,2,3,2,53,-2,-2,-2,-2,-2,-2,5687.0,0.0,0.0,19230.0,0.0,0.0,0.0,0.0,19230.0,0.0,0.0,0.0,0
7497,50000.0,2,1,1,34,-1,-1,-1,-1,-1,-1,2531.0,14504.0,22553.0,14900.0,6758.0,3727.0,14608.0,22730.0,14911.0,6758.0,3727.0,2440.0,0
7498,150000.0,2,1,2,33,-1,0,0,-2,-2,-2,10544.0,11982.0,-18.0,-18.0,-18.0,-18.0,2000.0,0.0,0.0,0.0,0.0,0.0,0
7499,210000.0,2,2,1,30,1,-1,-1,0,0,-1,0.0,241.0,4651.0,4746.0,3938.0,3479.0,241.0,4651.0,95.0,301.0,3479.0,1000.0,0
